Municipality,Composition,Percent of Industrial Waste
Madhyapur Thimi,Glass,0.1
Madhyapur Thimi,Metals,0
Madhyapur Thimi,Textiles,0
Madhyapur Thimi,Rubber and Leather,0.83
Madhyapur Thimi,Others,18.92
Malangawa,Organic Waste,5.85
Malangawa,Plastics,21.57
Malangawa,Paper and Paper Products,28.23
Malangawa,Glass,5.7
Malangawa,Metals,0.73
Malangawa,Textiles,4.78
Malangawa,Rubber and Leather,0
Malangawa,Others,33.14
Mechinagar,Organic Waste,24.74
Mechinagar,Plastics,15.32
Mechinagar,Paper and Paper Products,44.62
Mechinagar,Glass,5.65
Mechinagar,Metals,0
Mechinagar,Textiles,0
Mechinagar,Rubber and Leather,3.89
Mechinagar,Others,5.78
Narayan,Organic Waste,16.56
Narayan,Plastics,29.03
Narayan,Paper and Paper Products,54.41
Narayan,Glass,0
Narayan,Metals,0
Narayan,Textiles,0
Narayan,Rubber and Leather,0
Narayan,Others,0
Nepalgunj,Organic Waste,39.3
Nepalgunj,Plastics,13.02
Nepalgunj,Paper and Paper Products,44.24
Nepalgunj,Glass,0
Nepalgunj,Metals,1.92
Nepalgunj,Textiles,0
Nepalgunj,Rubber and Leather,0
Nepalgunj,Others,1.53
Panauti,Organic Waste,33.67
Panauti,Plastics,16.54
Panauti,Paper and Paper Products,44.43
Panauti,Glass,0.07
Panauti,Metals,0
Panauti,Textiles,3.01
Panauti,Rubber and Leather,0.65
Panauti,Others,1.63
Pokhara SMPC,Organic Waste,26.19
Pokhara SMPC,Plastics,8.14
Pokhara SMPC,Paper and Paper Products,65.35
Pokhara SMPC,Glass,0
Pokhara SMPC,Metals,0
Pokhara SMPC,Textiles,0
Pokhara SMPC,Rubber and Leather,0
Pokhara SMPC,Others,0.32
Putalibazar,Organic Waste,1.63
Putalibazar,Plastics,33.64
Putalibazar,Paper and Paper Products,53.04
Putalibazar,Glass,0
Putalibazar,Metals,0
Putalibazar,Textiles,0
Putalibazar,Rubber and Leather,0
Putalibazar,Others,11.69
Rajbiraj,Organic Waste,12.32
Rajbiraj,Plastics,10.51
Rajbiraj,Paper and Paper Products,40.09
Rajbiraj,Glass,1.13
Rajbiraj,Metals,0.51
Rajbiraj,Textiles,1.03
Rajbiraj,Rubber and Leather,0.12
Rajbiraj,Others,34.3
Ramgram,Organic Waste,19.84
Ramgram,Plastics,7.28
Ramgram,Paper and Paper Products,31.47
Ramgram,Glass,10.62
Ramgram,Metals,1.44
Ramgram,Textiles,0.06
Ramgram,Rubber and Leather,0.38
Ramgram,Others,28.92
Ratnanagar,Organic Waste,10.26
Ratnanagar,Plastics,18.94
Ratnanagar,Paper and Paper Products,60.31
Ratnanagar,Glass,0.2
Ratnanagar,Metals,0.62
Ratnanagar,Textiles,0.21
Ratnanagar,Rubber and Leather,0.93
Ratnanagar,Others,8.53
Sidharthanagar,Organic Waste,1.08
Sidharthanagar,Plastics,23.21
Sidharthanagar,Paper and Paper Products,75.71
Sidharthanagar,Glass,0
Sidharthanagar,Metals,0
Sidharthanagar,Textiles,0
Sidharthanagar,Rubber and Leather,0
Sidharthanagar,Others,0
Siraha,Organic Waste,29.1
Siraha,Plastics,4.17
Siraha,Paper and Paper Products,43.19
Siraha,Glass,0.27
Siraha,Metals,2.57
Siraha,Textiles,1.56
Siraha,Rubber and Leather,2.66
Siraha,Others,16.49
Tansen,Organic Waste,22.92
Tansen,Plastics,11.25
Tansen,Paper and Paper Products,24.05
Tansen,Glass,5.16
Tansen,Metals,1.91
Tansen,Textiles,4.02
Tansen,Rubber and Leather,3.75
Tansen,Others,26.94
Tikapur,Organic Waste,27.92
Tikapur,Plastics,19.16
Tikapur,Paper and Paper Products,47
Tikapur,Glass,0
Tikapur,Metals,4.6
Tikapur,Textiles,0
Tikapur,Rubber and Leather,0
Tikapur,Others,1.32
Triyuga,Organic Waste,10.89
Triyuga,Plastics,14.34
Triyuga,Paper and Paper Products,67.24
Triyuga,Glass,0
Triyuga,Metals,3.21
Triyuga,Textiles,1.46
Triyuga,Rubber and Leather,0.45
Triyuga,Others,2.41
Tulsipur,Organic Waste,2.94
Tulsipur,Plastics,20.53
Tulsipur,Paper and Paper Products,56.97
Tulsipur,Glass,0
Tulsipur,Metals,2.31
Tulsipur,Textiles,0
Tulsipur,Rubber and Leather,0
Tulsipur,Others,17.26
Waling,Organic Waste,41.57
Waling,Plastics,10.99
Waling,Paper and Paper Products,17.08
Waling,Glass,2.12
Waling,Metals,1.91
Waling,Textiles,0.92
Waling,Rubber and Leather,0.36
Waling,Others,25.06
Average composition,Organic Waste,21.73
Average composition,Plastics,20.76
Average composition,Paper and Paper Products,44.53
Average composition,Glass,1.17
Average composition,Metals,1.22
Average composition,Textiles,2.07
Average composition,Rubber and Leather,0.82
Average composition,Others,7.71
