Municipality,Composition,Percent of of Commercial Waste
Madhyapur Thimi,Metals,0
Madhyapur Thimi,Textiles,0
Madhyapur Thimi,Rubber and Leather,0.17
Madhyapur Thimi,Others,23.26
Malangawa,Organic Waste,23.91
Malangawa,Plastics,17.72
Malangawa,Paper and Paper Products,28.16
Malangawa,Glass,7.67
Malangawa,Metals,1.56
Malangawa,Textiles,9.57
Malangawa,Rubber and Leather,6.94
Malangawa,Others,4.47
Mechinagar,Organic Waste,32.91
Mechinagar,Plastics,24.65
Mechinagar,Paper and Paper Products,31.85
Mechinagar,Glass,1.33
Mechinagar,Metals,4.08
Mechinagar,Textiles,0
Mechinagar,Rubber and Leather,1.26
Mechinagar,Others,3.93
Narayan,Organic Waste,44.93
Narayan,Plastics,16.84
Narayan,Paper and Paper Products,33.06
Narayan,Glass,1.82
Narayan,Metals,3.36
Narayan,Textiles,0
Narayan,Rubber and Leather,0
Narayan,Others,0
Nepalgunj,Organic Waste,54.96
Nepalgunj,Plastics,13.67
Nepalgunj,Paper and Paper Products,16.34
Nepalgunj,Glass,11.23
Nepalgunj,Metals,3.49
Nepalgunj,Textiles,0.31
Nepalgunj,Rubber and Leather,0
Nepalgunj,Others,0
Panauti,Organic Waste,36.09
Panauti,Plastics,47.55
Panauti,Paper and Paper Products,14.16
Panauti,Glass,0.91
Panauti,Metals,0
Panauti,Textiles,1.3
Panauti,Rubber and Leather,0
Panauti,Others,0
Pokhara SMPC,Organic Waste,47.23
Pokhara SMPC,Plastics,12.6
Pokhara SMPC,Paper and Paper Products,24.68
Pokhara SMPC,Glass,6.14
Pokhara SMPC,Metals,1.44
Pokhara SMPC,Textiles,6.95
Pokhara SMPC,Rubber and Leather,0.13
Pokhara SMPC,Others,0.84
Putalibazar,Organic Waste,23.87
Putalibazar,Plastics,28.42
Putalibazar,Paper and Paper Products,24.1
Putalibazar,Glass,0
Putalibazar,Metals,0
Putalibazar,Textiles,0
Putalibazar,Rubber and Leather,0
Putalibazar,Others,23.62
Rajbiraj,Organic Waste,46.42
Rajbiraj,Plastics,12.94
Rajbiraj,Paper and Paper Products,23.5
Rajbiraj,Glass,0.85
Rajbiraj,Metals,3.08
Rajbiraj,Textiles,1.03
