Municipality,Category ,Year,NRs million
Kirtipur,"Total Municipal Budget 
 ",FY2011,...
Kirtipur,Total Municipal Budget  ,,...
Kirtipur,Total Municipal Budget  ,FY2013,122.41
Kirtipur,Total SWM Budget  ,FY2011,2.41
Kirtipur,Total  SWM Budget  ,,2.51
Kirtipur,Total SWM Budget  ,FY2013,2.5
Lahan,"Total Municipal Budget 
 ",FY2011,50.16
Lahan,Total Municipal Budget  ,,45.03
Lahan,Total Municipal Budget  ,FY2013,591.43
Lahan,Total SWM Budget  ,FY2011,3.63
Lahan,Total  SWM Budget  ,,3.6
Lahan,Total SWM Budget  ,FY2013,...
Lalitpur SMPC,"Total Municipal Budget 
 ",FY2011,234.95
Lalitpur SMPC,Total Municipal Budget  ,,433.82
Lalitpur SMPC,Total Municipal Budget  ,FY2013,558.69
Lalitpur SMPC,Total SWM Budget  ,FY2011,13.11
Lalitpur SMPC,Total  SWM Budget  ,,22.17
Lalitpur SMPC,Total SWM Budget  ,FY2013,31.22
Lekhnath,"Total Municipal Budget 
 ",FY2011,89.67
Lekhnath,Total Municipal Budget  ,,108.41
Lekhnath,Total Municipal Budget  ,FY2013,128.71
Lekhnath,Total SWM Budget  ,FY2011,...
Lekhnath,Total  SWM Budget  ,,...
Lekhnath,Total SWM Budget  ,FY2013,...
Madhyapur Thimi,"Total Municipal Budget 
 ",FY2011,...
Madhyapur Thimi,Total Municipal Budget  ,,...
Madhyapur Thimi,Total Municipal Budget  ,FY2013,162.54
Madhyapur Thimi,Total SWM Budget  ,FY2011,2.97
Madhyapur Thimi,Total  SWM Budget  ,,...
Madhyapur Thimi,Total SWM Budget  ,FY2013,3.26
Malangawa,"Total Municipal Budget 
 ",FY2011,32.97
Malangawa,Total Municipal Budget  ,,22.25
Malangawa,Total Municipal Budget  ,FY2013,93.07
Malangawa,Total SWM Budget  ,FY2011,1.62
Malangawa,Total  SWM Budget  ,,2.14
Malangawa,Total SWM Budget  ,FY2013,3.05
Mechinagar,"Total Municipal Budget 
 ",FY2011,103.51
Mechinagar,Total Municipal Budget  ,,123.55
Mechinagar,Total Municipal Budget  ,FY2013,139.06
Mechinagar,Total SWM Budget  ,FY2011,1.5
Mechinagar,Total  SWM Budget  ,,1.99
Mechinagar,Total SWM Budget  ,FY2013,2.95
Narayan,"Total Municipal Budget 
 ",FY2011,...
Narayan,Total Municipal Budget  ,,...
Narayan,Total Municipal Budget  ,FY2013,63.18
Narayan,Total SWM Budget  ,FY2011,...
Narayan,Total  SWM Budget  ,,...
Narayan,Total SWM Budget  ,FY2013,...
Nepalgunj,"Total Municipal Budget 
 ",FY2011,96.49
Nepalgunj,Total Municipal Budget  ,,116.2
